                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                 1.1732,                0.91887,                 1.4939,                0.85805,                0.79104,                0.87545,                0.57192,                 1.3551,                0.86675,                 1.6863,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.1629,                  0.912,                 1.4851,                0.81097,                0.86567,                0.88087,                0.56929,                 1.3571,                  0.811,                 1.7434,               0.003664,               0.003664,               0.003664
                    130,                 1.1477,                0.85593,                 1.4567,                0.77872,                 0.8209,                0.83177,                0.52242,                 1.3997,                0.92617,                 1.8006,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.1663,                0.92303,                 1.4843,                0.77838,                 0.8806,                0.88403,                0.56914,                 1.3504,                0.85206,                 1.7294,               0.003565,               0.003565,               0.003565
                    132,                  1.137,                0.89372,                 1.4614,                0.79463,                 0.8806,                0.86964,                0.56538,                 1.3328,                0.86499,                 1.6969,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.1581,                0.87916,                 1.4733,                0.84665,                 0.8209,                0.87326,                0.58478,                 1.3333,                0.81144,                 1.6957,               0.003466,               0.003466,               0.003466
                    134,                 1.1538,                0.86555,                 1.4808,                0.79497,                0.89699,                0.89206,                0.57893,                 1.3251,                0.84741,                 1.7247,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.1488,                0.87942,                 1.4736,                0.82083,                 0.8806,                0.88195,                0.56814,                 1.3249,                0.84271,                 1.6803,               0.003367,               0.003367,               0.003367
                    136,                  1.145,                0.89112,                 1.4711,                 0.8658,                0.83582,                0.87314,                0.56713,                 1.3405,                0.79763,                 1.7044,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.1384,                0.88392,                 1.4581,                 0.8462,                0.82836,                0.85509,                0.54635,                 1.4361,                0.83912,                 1.8292,               0.003268,               0.003268,               0.003268
                    138,                 1.1422,                0.87424,                 1.4599,                0.82547,                0.86567,                0.86982,                0.55034,                    1.4,                0.85372,                 1.7975,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.1228,                0.84971,                 1.4427,                0.86601,                0.81997,                0.87305,                0.55036,                 1.4298,                0.84665,                 1.7902,               0.003169,               0.003169,               0.003169
                    140,                 1.1302,                0.87707,                 1.4511,                0.85575,                0.79692,                0.85828,                0.53006,                 1.4101,                0.88859,                 1.7671,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.1313,                0.86976,                 1.4599,                0.83882,                0.85821,                0.86392,                0.57571,                 1.3494,                0.81791,                 1.7309,                0.00307,                0.00307,                0.00307
                    142,                 1.1046,                0.87468,                   1.44,                0.84922,                0.88267,                0.87848,                0.56366,                  1.382,                0.82834,                 1.7741,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.1257,                0.85568,                 1.4582,                0.83849,                0.85075,                0.86764,                0.57032,                 1.3345,                0.81142,                 1.6788,               0.002971,               0.002971,               0.002971
                    144,                 1.1199,                0.85557,                 1.4397,                0.81501,                0.85821,                0.88241,                0.58304,                 1.3227,                0.79971,                 1.7124,              0.0029215,              0.0029215,              0.0029215
                    145,                 1.1062,                0.82624,                 1.4312,                0.82236,                0.86371,                0.87331,                0.57787,                 1.3253,                0.82546,                 1.7029,               0.002872,               0.002872,               0.002872
                    146,                 1.1096,                0.82737,                 1.4324,                0.79918,                0.86567,                0.86446,                0.57723,                 1.3472,                0.79119,                 1.7229,              0.0028225,              0.0028225,              0.0028225
                    147,                 1.1069,                 0.8262,                 1.4311,                0.82681,                0.82836,                0.86671,                0.55969,                 1.3858,                0.82066,                   1.75,               0.002773,               0.002773,               0.002773
                    148,                 1.1136,                0.85118,                 1.4456,                0.79452,                0.86567,                0.85748,                 0.5685,                 1.3755,                0.80818,                 1.7921,              0.0027235,              0.0027235,              0.0027235
                    149,                 1.1023,                0.82743,                 1.4313,                 0.8227,                0.86567,                0.86957,                0.58028,                 1.3539,                 0.8058,                 1.7318,               0.002674,               0.002674,               0.002674
